id,on_site_interviews,faculty_offers,covid_offers_rescinded,offer_responses,race_ethnicity,R1_apps_submitted,PUI_apps_submitted,gender,research_category,covid_alter_research,position,first_gen_phd,commitment_impact
592,NA,NA,NA,NA,"South/Central American,Not Listed",NA,NA,Woman,Integrated Sciences,NA,NA,No,NA
593,1,1,0,"I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,0,1,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
595,0,0,0,I did not recieve any offers,Caucasian-American/European,0,0,Woman,Biological Sciences,"Yes, significant changes",NA,Yes,Become weaker
597,3,1,0,I accepted an offer at a research-intensive institution,Asian-American/Asian,34,0,Woman,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,NA
598,0,0,NA,I did not recieve any offers,Asian-American/Asian,0,0,Man,Biological Sciences,NA,Postdoc,No,Become stronger
599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
600,0,0,NA,I did not recieve any offers,Caucasian-American/North African or Middle Eastern,2,0,Woman,Biological Sciences,NA,NA,No,Become weaker
601,0,0,0,I did not recieve any offers,"Caribbean Islander (e.g., Puerto Rico, Trinidad)",2,0,Woman,Geosciences,Not at all,PhD Candidate (ABD),Yes,Not changed
602,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
603,0,NA,NA,NA,Caucasian-American/European,0,0,Woman,Biological Sciences,NA,Postdoc,Yes,NA
604,0,0,0,I did not recieve any offers,Caucasian-American/European,10,37,Man,Mathematical & Physical Sciences,NA,Non-tenure track faculty (e.g. research associate…),No,Become weaker
605,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Mathematical & Physical Sciences,NA,Postdoc,No,NA
606,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
607,2,2,1,I accepted an offer at a research-intensive institution,Asian-American/Asian,30,5,Woman,Chemistry,NA,Postdoc,Yes,Not changed
608,0,0,0,I did not recieve any offers,African-American/Black/African,10,0,Woman,Computer & Information Sciences,NA,NA,Yes,NA
609,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
610,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
611,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
612,NA,NA,NA,NA,Not Listed,NA,NA,Woman,Biological Sciences,NA,PhD Candidate (ABD),Yes,NA
613,1,0,NA,I did not recieve any offers,Caucasian-American/European,0,2,Woman,Humanities,NA,PhD Candidate (ABD),Yes,NA
614,NA,NA,NA,NA,Asian-American/Asian,0,0,Man,Computer & Information Sciences,NA,Postdoc,Yes,NA
615,2,1,0,I accepted an offer at a primarily undergraduate institution,Asian-American/Asian,50,26,Woman,Engineering,NA,NA,Yes,Become weaker
616,NA,0,0,I did not recieve any offers,Caucasian-American/European,0,0,Woman,Biological Sciences,NA,Postdoc,Yes,NA
617,0,NA,0,I did not recieve any offers,African-American/Black/African,5,13,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become weaker
618,4,1,0,I rejected offer(s) for reasons not listed above,Caucasian-American/European,10,7,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,No,Become weaker
619,1,0,0,I did not recieve any offers,Caucasian-American/European,1,0,Woman,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
620,NA,NA,NA,NA,"African-American/Black/African,Asian-American/Asian,Caribbean Islander (e.g., Puerto Rico, Trinidad)",NA,NA,Woman,NA,NA,Postdoc,Yes,NA
621,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
622,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
623,NA,NA,NA,NA,Caucasian-American/North African or Middle Eastern,NA,NA,Woman,Mathematical & Physical Sciences,NA,Postdoc,Unsure,NA
624,11,2,1,"I accepted an offer at a research-intensive institution,I rejected offer(s) because of other reasons pertaining to the impact of Covid-19",Asian-American/Asian,70,6,Woman,Chemistry,Somewhat,Postdoc,Yes,Become stronger
625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,0,0,NA,I did not recieve any offers,Asian-American/Asian,60,0,Man,Chemistry,Not at all,Postdoc,Yes,Become weaker
627,0,0,0,I did not recieve any offers,Caucasian-American/European,8,0,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Not changed
628,2,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,6,17,Woman,Biological Sciences,Not at all,NA,Yes,Not changed
629,2,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,0,7,Woman,Chemistry,NA,Postdoc,Yes,Not changed
630,1,1,NA,I accepted an offer at a research-intensive institution,Caucasian-American/European,35,25,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become stronger
631,12,4,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) for hostile/unwelcome interviewing environments,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,55,5,Man,Chemistry,NA,Postdoc,Yes,Not changed
632,2,1,0,I accepted an offer at a primarily undergraduate institution,African-American/Black/African,35,6,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become weaker
633,0,0,NA,I did not recieve any offers,"Caucasian-American/European,North American Hispanic/Latinx",11,1,Woman,Biological Sciences,NA,Postdoc,Yes,Become weaker
634,1,0,NA,I did not recieve any offers,Caucasian-American/North African or Middle Eastern,22,0,Woman,Biological Sciences,NA,Postdoc,No,Become weaker
635,4,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,24,0,Man,Biological Sciences,NA,Postdoc,Yes,NA
636,1,0,0,I did not recieve any offers,"Caucasian-American/European,South/Central American",2,0,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,No,Become weaker
637,2,0,NA,I did not recieve any offers,Caucasian-American/European,0,16,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
638,0,0,NA,I did not recieve any offers,Caucasian-American/European,6,0,Woman,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,Yes,Not changed
640,NA,NA,NA,NA,Asian-American/Asian,10,0,Man,Engineering,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become stronger
641,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Engineering,NA,NA,No,NA
643,NA,NA,NA,NA,NA,NA,NA,Unlisted gender,NA,NA,NA,NA,NA
644,1,0,NA,I did not recieve any offers,Caucasian-American/European,5,0,Woman,Engineering,Not at all,Postdoc,Yes,Become stronger
645,4,2,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,25,0,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Not changed
646,4,3,3,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) because of spouse/partner job prospects",Asian-American/Asian,30,0,Woman,Engineering,Not at all,Postdoc,Yes,Become stronger
647,5,4,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) because the position did not fit my career goals",Asian-American/Asian,8,0,Woman,Biological Sciences,Not at all,NA,No,Not changed
648,3,2,0,I accepted an offer at a research-intensive institution,Asian-American/Asian,70,0,Man,Chemistry,NA,Postdoc,Yes,Become stronger
649,2,1,0,"I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because the start up package was insufficient,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,0,0,Man,Chemistry,NA,Postdoc,Yes,Not changed
650,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,3,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
651,7,3,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,53,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Not changed
652,1,1,NA,"I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because the start up package was insufficient",South/Central American,30,80,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
653,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
654,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Chemistry,NA,Postdoc,Yes,NA
655,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
656,2,2,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for reasons not listed above",Caucasian-American/European,51,0,Woman,Biological Sciences,NA,NA,Yes,NA
657,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,1,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
658,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Man,Computer & Information Sciences,NA,Postdoc,Unsure,NA
659,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Chemistry,NA,Postdoc,Yes,NA
661,5,1,2,I rejected offer(s) because the personal compensation/benefits were insufficient,Caucasian-American/European,2,16,Man,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
662,2,1,0,I accepted an offer at a research-intensive institution,African-American/Black/African,32,12,Man,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,Become stronger
663,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,6,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,Not changed
664,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,10,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become weaker
665,0,0,0,I did not recieve any offers,Caucasian-American/European,5,0,Woman,Biological Sciences,Somewhat,NA,Yes,Become weaker
666,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,NA,Yes,NA
667,NA,NA,NA,NA,Not Listed,NA,NA,Woman,Biological Sciences,NA,NA,No,NA
668,1,0,0,NA,Caucasian-American/European,6,0,Man,Humanities,NA,Postdoc,No,Become stronger
669,3,0,NA,I did not recieve any offers,Caucasian-American/European,4,0,Woman,Geosciences,NA,Postdoc,Yes,Not changed
670,4,3,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) because the start up package was insufficient,I rejected offer(s) for reasons not listed above,I rejected offer(s) because of reduced resources directly related to the economic impact of Covid-19",South/Central American,4,0,Woman,Engineering,Not at all,Postdoc,No,Become stronger
671,1,1,0,I accepted an offer at a research-intensive institution,Asian-American/Asian,2,1,Woman,Biological Sciences,NA,NA,No,NA
672,NA,NA,NA,NA,Asian-American/Asian,1,1,Man,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
673,1,0,NA,I did not recieve any offers,South/Central American,20,0,Man,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become stronger
674,2,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,6,0,Woman,Chemistry,NA,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
675,1,1,1,NA,"Caribbean Islander (e.g., Puerto Rico, Trinidad)",21,0,Woman,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),No,Not changed
676,5,4,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) because of other family needs","Caribbean Islander (e.g., Puerto Rico, Trinidad)",1,11,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become stronger
677,1,0,NA,I did not recieve any offers,Caucasian-American/European,7,0,Man,Biological Sciences,NA,Postdoc,Yes,Become weaker
678,0,0,NA,I did not recieve any offers,Caucasian-American/European,5,4,Man,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
679,4,0,NA,I did not recieve any offers,Caucasian-American/European,40,0,Man,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),No,Not changed
680,2,1,1,I accepted an offer at a research-intensive institution,Asian-American/Asian,10,0,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Not changed
681,0,0,NA,I did not recieve any offers,Caucasian-American/European,12,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
682,2,1,0,I rejected offer(s) for geographic fit,Caucasian-American/European,0,38,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become stronger
683,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,0,3,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become stronger
684,0,0,0,I did not recieve any offers,Caucasian-American/European,10,NA,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
685,1,0,0,I did not recieve any offers,Asian-American/Asian,0,3,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become stronger
686,10,4,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,17,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become stronger
690,1,1,0,I accepted an offer at a research-intensive institution,"Caucasian-American/European,Asian-American/Asian",1,0,Woman,Mathematical & Physical Sciences,NA,NA,Yes,NA
691,0,0,NA,I did not recieve any offers,Caucasian-American/European,3,0,Man,Mathematical & Physical Sciences,NA,Postdoc,Yes,Become weaker
692,1,0,0,I did not recieve any offers,North American Hispanic/Latinx,3,30,Woman,Humanities,NA,PhD Candidate (ABD),Yes,Become weaker
693,4,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,16,23,Man,Humanities,Not at all,Non-tenure track faculty (e.g. research associate…),No,Not changed
694,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,1,Woman,Integrated Sciences,Not at all,NA,Yes,Not changed
695,2,1,0,I accepted an offer at a research-intensive institution,"Caucasian-American/European,African-American/Black/African",30,0,Woman,Computer & Information Sciences,Not at all,Postdoc,Yes,Not changed
696,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,7,4,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,No,Become weaker
697,0,0,0,I did not recieve any offers,Caucasian-American/European,4,0,Woman,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,Yes,Not changed
698,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,3,19,Woman,"Social, Behavior, & Economic Sciences",Somewhat,PhD Candidate (ABD),Yes,Become weaker
699,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/North African or Middle Eastern,23,12,Man,Engineering,NA,NA,No,Become stronger
700,8,2,1,I accepted an offer at a research-intensive institution,Asian-American/Asian,80,0,Man,Biological Sciences,NA,Postdoc,Yes,Become stronger
701,1,0,0,I did not recieve any offers,Caucasian-American/European,2,0,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
702,5,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,39,0,Woman,Biological Sciences,NA,Postdoc,No,Become stronger
703,0,0,0,I did not recieve any offers,Caucasian-American/European,10,0,Man,Biological Sciences,NA,Postdoc,Yes,Become weaker
704,8,2,0,"I accepted an offer at a primarily undergraduate institution,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because the start up package was insufficient,I rejected offer(s) for reasons not listed above",Caucasian-American/European,0,22,Woman,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),No,Not changed
705,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,NA,Yes,NA
706,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
707,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,No,NA
708,8,2,2,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit",Caucasian-American/European,58,8,Woman,Biological Sciences,Not at all,Postdoc,Yes,Not changed
709,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,NA,Yes,NA
710,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,NA,Yes,NA
711,0,0,NA,I did not recieve any offers,Not Listed,5,10,Man,Humanities,NA,NA,No,NA
712,1,1,0,I accepted an offer at a research-intensive institution,Asian-American/Asian,1,1,Woman,Mathematical & Physical Sciences,NA,Postdoc,Yes,NA
713,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
714,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,NA,Yes,NA
715,0,0,NA,I did not recieve any offers,Caucasian-American/European,10,10,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
716,2,1,0,"I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because of other reasons pertaining to the impact of Covid-19",Caucasian-American/European,8,4,Woman,Biological Sciences,Not at all,Postdoc,No,Become weaker
717,9,3,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) because the position did not fit my career goals",Caucasian-American/European,37,NA,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
718,NA,NA,NA,NA,Caucasian-American/North African or Middle Eastern,NA,NA,Woman,Mathematical & Physical Sciences,NA,Postdoc,Yes,NA
719,NA,NA,NA,I did not recieve any offers,Caucasian-American/European,5,5,Woman,Biological Sciences,"Yes, significant changes",Postdoc,Yes,Become weaker
720,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,NA,No,NA
721,NA,NA,NA,I did not recieve any offers,Asian-American/Asian,2,0,Woman,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
723,1,0,NA,I did not recieve any offers,Caucasian-American/European,2,0,Woman,Biological Sciences,NA,Postdoc,No,Not changed
724,0,0,0,I did not recieve any offers,Caucasian-American/European,2,1,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
725,1,0,NA,I did not recieve any offers,Caucasian-American/North African or Middle Eastern,21,0,Man,Engineering,NA,Postdoc,No,Not changed
726,1,1,0,I accepted an offer at a research-intensive institution,Asian-American/Asian,0,0,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Not changed
727,2,0,NA,I did not recieve any offers,Caucasian-American/European,11,1,Woman,Biological Sciences,NA,NA,Yes,Not changed
728,4,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,28,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
729,17,4,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) because the position did not fit my career goals",Caucasian-American/European,30,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
730,2,0,NA,I did not recieve any offers,Caucasian-American/European,51,45,Man,Biological Sciences,NA,Postdoc,Yes,Become weaker
731,1,3,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,22,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
732,1,0,NA,I did not recieve any offers,Caucasian-American/European,19,0,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
733,0,0,0,I did not recieve any offers,Caucasian-American/North African or Middle Eastern,0,0,Man,Chemistry,NA,Postdoc,Yes,NA
734,2,0,0,I did not recieve any offers,Caucasian-American/European,33,11,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become weaker
735,0,0,NA,I did not recieve any offers,Caucasian-American/European,22,3,Man,"Social, Behavior, & Economic Sciences",NA,NA,Yes,Not changed
736,NA,NA,NA,I did not recieve any offers,Asian-American/Asian,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Not changed
737,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,2,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
738,1,0,0,I did not recieve any offers,Caucasian-American/European,20,25,Non-binary,Biological Sciences,NA,NA,Yes,NA
739,0,NA,NA,NA,Caucasian-American/European,30,10,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become weaker
740,NA,NA,NA,NA,African-American/Black/African,NA,NA,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,NA
741,0,0,0,I did not recieve any offers,"Caucasian-American/European,North American Hispanic/Latinx",0,0,Man,Mathematical & Physical Sciences,NA,Postdoc,Yes,NA
742,0,0,0,I did not recieve any offers,Asian-American/Asian,0,1,Man,Mathematical & Physical Sciences,NA,Postdoc,Yes,Not changed
743,0,0,0,I did not recieve any offers,Asian-American/Asian,0,0,Man,Chemistry,NA,Postdoc,Unsure,Become stronger
744,1,0,0,I did not recieve any offers,Caucasian-American/European,1,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become weaker
745,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,1,8,Man,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),No,Become weaker
746,0,0,7,I did not recieve any offers,Asian-American/Asian,0,0,Man,Engineering,NA,Postdoc,Yes,NA
747,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
748,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Chemistry,NA,Postdoc,No,NA
749,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
750,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
751,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),No,NA
752,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
753,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Biological Sciences,NA,Postdoc,Yes,NA
754,0,0,0,I did not recieve any offers,Caucasian-American/European,0,0,Woman,Biological Sciences,NA,Postdoc,Yes,NA
755,2,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,4,3,Man,Biological Sciences,NA,Postdoc,Yes,Become weaker
756,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,0,Woman,Biological Sciences,Not at all,PhD Candidate (ABD),Yes,Not changed
757,0,0,0,I did not recieve any offers,Caucasian-American/European,0,3,Man,Chemistry,NA,PhD Candidate (ABD),Yes,Not changed
758,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,0,12,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become stronger
761,0,NA,NA,I did not recieve any offers,Caucasian-American/European,0,5,Woman,Engineering,NA,NA,Yes,Become weaker
762,1,1,0,I accepted an offer at a research-intensive institution,"North American Indigenous (e.g., Hawaii or Alaskan Native, American Indian)",5,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
763,0,NA,NA,I did not recieve any offers,Caucasian-American/European,3,0,Woman,Integrated Sciences,NA,Postdoc,No,Not changed
765,4,2,0,"I rejected offer(s) for geographic fit,I rejected offer(s) for hostile/unwelcome interviewing environments,I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,30,4,Woman,Biological Sciences,NA,NA,Yes,Become weaker
766,0,0,0,I did not recieve any offers,Asian-American/Asian,0,0,Man,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
767,3,0,NA,I did not recieve any offers,Caucasian-American/European,29,6,Man,Biological Sciences,NA,Postdoc,No,Become weaker
768,15,6,NA,"I accepted an offer at a research-intensive institution,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,66,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
769,1,1,0,I accepted an offer at a research-intensive institution,"Caribbean Islander (e.g., Puerto Rico, Trinidad)",4,1,Man,Biological Sciences,NA,Postdoc,Yes,Become stronger
770,NA,NA,NA,NA,Caucasian-American/European,0,0,Woman,Engineering,Not at all,Postdoc,Yes,NA
771,1,0,1,I did not recieve any offers,Caucasian-American/European,24,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Not changed
772,5,3,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,18,1,Woman,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
773,2,2,1,"I rejected offer(s) because of spouse/partner job prospects,I rejected offer(s) because of other family needs",Caucasian-American/European,5,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Not changed
774,6,5,0,I accepted an offer at a research-intensive institution,"African-American/Black/African,Caribbean Islander (e.g., Puerto Rico, Trinidad)",15,0,Man,Engineering,NA,Postdoc,Yes,Become stronger
775,4,2 (plus 1 postdoc),1,"I rejected offer(s) for geographic fit,I rejected offer(s) because of other family needs,I rejected offer(s) because of reduced resources directly related to the economic impact of Covid-19,I rejected offer(s) because of other reasons pertaining to the impact of Covid-19",Caucasian-American/European,20,35,Woman,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,Yes,Not changed
776,4,4,NA,I accepted an offer at a research-intensive institution,Caucasian-American/European,31,NA,Woman,Biological Sciences,NA,NA,No,Not changed
777,0,0,0,I did not recieve any offers,"Caucasian-American/European,North American Indigenous (e.g., Hawaii or Alaskan Native, American Indian)",0,7,NA,Biological Sciences,Not at all,Postdoc,Yes,Become weaker
778,3,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,25,4,Woman,Biological Sciences,Not at all,Postdoc,Yes,Not changed
779,2,0,NA,I did not recieve any offers,Caucasian-American/European,7,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
780,NA,NA,NA,NA,"African-American/Black/African,South/Central American",NA,NA,Man,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,Become stronger
781,15,9,3,I accepted an offer at a research-intensive institution,North American Hispanic/Latinx,32,0,Man,Engineering,Not at all,Postdoc,Yes,Become stronger
782,1,0,0,I did not recieve any offers,"Caucasian-American/European,Caribbean Islander (e.g., Puerto Rico, Trinidad)",0,1,Woman,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
783,11,1,0,I accepted an offer at a research-intensive institution,Asian-American/Asian,60,0,Woman,Biological Sciences,Not at all,Postdoc,No,NA
784,4,4,0,I accepted an offer at a research-intensive institution,Asian-American/Asian,29,1,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
785,10,2,1,I accepted an offer at a research-intensive institution,Caucasian-American/European,94,0,Woman,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become stronger
786,0,0,0,I did not recieve any offers,Caucasian-American/European,2,9,Woman,"Social, Behavior, & Economic Sciences",Somewhat,Postdoc,No,Become weaker
787,0,0,0,I did not recieve any offers,Caucasian-American/European,22,0,Man,Biological Sciences,NA,NA,No,Become weaker
788,0,0,NA,NA,Asian-American/Asian,6,0,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
789,3,0,NA,I did not recieve any offers,Asian-American/Asian,4,0,Woman,Biological Sciences,NA,Postdoc,Yes,NA
790,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Man,Integrated Sciences,NA,Postdoc,Yes,NA
791,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Non-binary,Chemistry,NA,Postdoc,Yes,NA
792,NA,NA,NA,NA,Caucasian-American/European,NA,NA,Woman,Biological Sciences,NA,Postdoc,Yes,NA
793,NA,NA,NA,NA,Caucasian-American/European,0,0,Woman,Biological Sciences,NA,PhD Candidate (ABD),Yes,NA
